prioritaet,inhaltstyp,titel,url,quelle,veroeffentlicht,geaendert,hauptnavigation,entscheidung,ziel,verantwortlich,benoetigte_freigabe,offener_punkt,faellig
2,Angebot/Gruppe,Bibelkreis am Dienstag,https://akg-kiel.de/angebote-und-gruppen/bibelkreis-am-dienstag,WordPress REST + Sitemap,2019-08-09,2022-11-14,nein,überarbeiten,/angebote (Bibelkreis am Dienstag; Detailziel in AKG-58),noah.zepner@akg-kiel.de (Projektleitung/Koordination),"AKG-55/63/72: öffentliche ChurchTools-Felder, jeweilige Angebotsleitung und Redaktion","ChurchTools-Gruppendatensatz, öffentliche Felder, Aktivität, Zielgruppe, Rhythmus, Ort und Kontakt bestätigen; kein Repository-Fallback; inaktive Angebote entfallen",2026-10-02
2,Angebot/Gruppe,Bücherstube Leuchtturm,https://akg-kiel.de/angebote-und-gruppen/buecherstube-leuchtturm,WordPress REST + Sitemap,2019-07-30,2024-07-29,nein,überarbeiten,/angebote (Bücherstube Leuchtturm; Detailziel in AKG-58),noah.zepner@akg-kiel.de (Projektleitung/Koordination),"AKG-55/63/72: öffentliche ChurchTools-Felder, jeweilige Angebotsleitung und Redaktion","ChurchTools-Gruppendatensatz, öffentliche Felder, Aktivität, Zielgruppe, Rhythmus, Ort und Kontakt bestätigen; kein Repository-Fallback; inaktive Angebote entfallen",2026-10-02
2,Angebot/Gruppe,Verein für Kinder- und Jugendarbeit,https://akg-kiel.de/angebote-und-gruppen/der-verein,WordPress REST + Sitemap,2022-02-06,2024-01-21,nein,überarbeiten,/angebote (Verein für Kinder- und Jugendarbeit; Detailziel in AKG-58),noah.zepner@akg-kiel.de (Projektleitung/Koordination),"AKG-55/63/72: öffentliche ChurchTools-Felder, jeweilige Angebotsleitung und Redaktion","ChurchTools-Gruppendatensatz, öffentliche Felder, Aktivität, Zielgruppe, Rhythmus, Ort und Kontakt bestätigen; kein Repository-Fallback; inaktive Angebote entfallen",2026-10-02
2,Angebot/Gruppe,Dreiklang,https://akg-kiel.de/angebote-und-gruppen/dreiklang,WordPress REST + Sitemap,2022-09-28,2026-07-29,nein,überarbeiten,/angebote (Dreiklang; Detailziel in AKG-58),noah.zepner@akg-kiel.de (Projektleitung/Koordination),"AKG-55/63/72: öffentliche ChurchTools-Felder, jeweilige Angebotsleitung und Redaktion","ChurchTools-Gruppendatensatz, öffentliche Felder, Aktivität, Zielgruppe, Rhythmus, Ort und Kontakt bestätigen; kein Repository-Fallback; inaktive Angebote entfallen",2026-10-02
2,Angebot/Gruppe,Frauentreff,https://akg-kiel.de/angebote-und-gruppen/frauenkreis,WordPress REST + Sitemap,2019-11-09,2025-03-15,nein,überarbeiten,/angebote (Frauentreff; Detailziel in AKG-58),noah.zepner@akg-kiel.de (Projektleitung/Koordination),"AKG-55/63/72: öffentliche ChurchTools-Felder, jeweilige Angebotsleitung und Redaktion","ChurchTools-Gruppendatensatz, öffentliche Felder, Aktivität, Zielgruppe, Rhythmus, Ort und Kontakt bestätigen; kein Repository-Fallback; inaktive Angebote entfallen",2026-10-02
2,Angebot/Gruppe,Freizeitgruppen,https://akg-kiel.de/angebote-und-gruppen/freizeitgruppen,WordPress REST + Sitemap,2015-09-19,2024-08-14,nein,überarbeiten,/angebote (Freizeitgruppen; Detailziel in AKG-58),noah.zepner@akg-kiel.de (Projektleitung/Koordination),"AKG-55/63/72: öffentliche ChurchTools-Felder, jeweilige Angebotsleitung und Redaktion","ChurchTools-Gruppendatensatz, öffentliche Felder, Aktivität, Zielgruppe, Rhythmus, Ort und Kontakt bestätigen; kein Repository-Fallback; inaktive Angebote entfallen",2026-10-02
2,Angebot/Gruppe,Gastfreundschaftsteam,https://akg-kiel.de/angebote-und-gruppen/gastfreundschaftsteam,WordPress REST + Sitemap,2019-07-15,2025-11-14,nein,überarbeiten,/angebote (Gastfreundschaftsteam; Detailziel in AKG-58),noah.zepner@akg-kiel.de (Projektleitung/Koordination),"AKG-55/63/72: öffentliche ChurchTools-Felder, jeweilige Angebotsleitung und Redaktion","ChurchTools-Gruppendatensatz, öffentliche Felder, Aktivität, Zielgruppe, Rhythmus, Ort und Kontakt bestätigen; kein Repository-Fallback; inaktive Angebote entfallen",2026-10-02
2,Angebot/Gruppe,Gebet für Gottes Volk,https://akg-kiel.de/angebote-und-gruppen/gebet-fuer-gottes-volk,WordPress REST + Sitemap,2024-01-29,2025-04-27,nein,überarbeiten,/angebote (Gebet für Gottes Volk; Detailziel in AKG-58),noah.zepner@akg-kiel.de (Projektleitung/Koordination),"AKG-55/63/72: öffentliche ChurchTools-Felder, jeweilige Angebotsleitung und Redaktion","ChurchTools-Gruppendatensatz, öffentliche Felder, Aktivität, Zielgruppe, Rhythmus, Ort und Kontakt bestätigen; kein Repository-Fallback; inaktive Angebote entfallen",2026-10-02
2,Angebot/Gruppe,Gemeindegebet,https://akg-kiel.de/angebote-und-gruppen/gemeindegebet,WordPress REST + Sitemap,2020-02-10,2023-10-03,nein,überarbeiten,/angebote (Gemeindegebet; Detailziel in AKG-58),noah.zepner@akg-kiel.de (Projektleitung/Koordination),"AKG-55/63/72: öffentliche ChurchTools-Felder, jeweilige Angebotsleitung und Redaktion","ChurchTools-Gruppendatensatz, öffentliche Felder, Aktivität, Zielgruppe, Rhythmus, Ort und Kontakt bestätigen; kein Repository-Fallback; inaktive Angebote entfallen",2026-10-02
2,Angebot/Gruppe,Partnerschaft mit Kimosonu,https://akg-kiel.de/angebote-und-gruppen/gemeindepartnerschaft,WordPress REST + Sitemap,2019-07-15,2026-06-15,nein,überarbeiten,/angebote (Partnerschaft mit Kimosonu; Detailziel in AKG-58),noah.zepner@akg-kiel.de (Projektleitung/Koordination),"AKG-55/63/72: öffentliche ChurchTools-Felder, jeweilige Angebotsleitung und Redaktion","ChurchTools-Gruppendatensatz, öffentliche Felder, Aktivität, Zielgruppe, Rhythmus, Ort und Kontakt bestätigen; kein Repository-Fallback; inaktive Angebote entfallen",2026-10-02
2,Angebot/Gruppe,Gottesdienst Begleitungsteam,https://akg-kiel.de/angebote-und-gruppen/gottesdienstbegleitteam,WordPress REST + Sitemap,2021-02-07,2022-09-24,nein,überarbeiten,/angebote (Gottesdienst Begleitungsteam; Detailziel in AKG-58),noah.zepner@akg-kiel.de (Projektleitung/Koordination),"AKG-55/63/72: öffentliche ChurchTools-Felder, jeweilige Angebotsleitung und Redaktion","ChurchTools-Gruppendatensatz, öffentliche Felder, Aktivität, Zielgruppe, Rhythmus, Ort und Kontakt bestätigen; kein Repository-Fallback; inaktive Angebote entfallen",2026-10-02
2,Angebot/Gruppe,Hauskreise,https://akg-kiel.de/angebote-und-gruppen/hauskreise,WordPress REST + Sitemap,2023-11-18,2024-05-01,nein,überarbeiten,/angebote (Hauskreise; Detailziel in AKG-58),noah.zepner@akg-kiel.de (Projektleitung/Koordination),"AKG-55/63/72: öffentliche ChurchTools-Felder, jeweilige Angebotsleitung und Redaktion","ChurchTools-Gruppendatensatz, öffentliche Felder, Aktivität, Zielgruppe, Rhythmus, Ort und Kontakt bestätigen; kein Repository-Fallback; inaktive Angebote entfallen",2026-10-02
2,Angebot/Gruppe,Herzensgebet,https://akg-kiel.de/angebote-und-gruppen/herzensgebet,WordPress REST + Sitemap,2023-12-08,2024-01-11,nein,überarbeiten,/angebote (Herzensgebet; Detailziel in AKG-58),noah.zepner@akg-kiel.de (Projektleitung/Koordination),"AKG-55/63/72: öffentliche ChurchTools-Felder, jeweilige Angebotsleitung und Redaktion","ChurchTools-Gruppendatensatz, öffentliche Felder, Aktivität, Zielgruppe, Rhythmus, Ort und Kontakt bestätigen; kein Repository-Fallback; inaktive Angebote entfallen",2026-10-02
2,Angebot/Gruppe,Hörendes Gebet,https://akg-kiel.de/angebote-und-gruppen/hoerendes-gebet,WordPress REST + Sitemap,2019-07-26,2022-06-02,nein,überarbeiten,/angebote (Hörendes Gebet; Detailziel in AKG-58),noah.zepner@akg-kiel.de (Projektleitung/Koordination),"AKG-55/63/72: öffentliche ChurchTools-Felder, jeweilige Angebotsleitung und Redaktion","ChurchTools-Gruppendatensatz, öffentliche Felder, Aktivität, Zielgruppe, Rhythmus, Ort und Kontakt bestätigen; kein Repository-Fallback; inaktive Angebote entfallen",2026-10-02
2,Angebot/Gruppe,Jugendhauskreise,https://akg-kiel.de/angebote-und-gruppen/jugendhauskreise,WordPress REST + Sitemap,2019-10-02,2023-01-31,nein,überarbeiten,/angebote (Jugendhauskreise; Detailziel in AKG-58),noah.zepner@akg-kiel.de (Projektleitung/Koordination),"AKG-55/63/72: öffentliche ChurchTools-Felder, jeweilige Angebotsleitung und Redaktion","ChurchTools-Gruppendatensatz, öffentliche Felder, Aktivität, Zielgruppe, Rhythmus, Ort und Kontakt bestätigen; kein Repository-Fallback; inaktive Angebote entfallen",2026-10-02
2,Angebot/Gruppe,Junge Gemeinde,https://akg-kiel.de/angebote-und-gruppen/junge-gemeinde,WordPress REST + Sitemap,2026-04-19,2026-05-12,nein,überarbeiten,/angebote (Junge Gemeinde; Detailziel in AKG-58),noah.zepner@akg-kiel.de (Projektleitung/Koordination),"AKG-55/63/72: öffentliche ChurchTools-Felder, jeweilige Angebotsleitung und Redaktion","ChurchTools-Gruppendatensatz, öffentliche Felder, Aktivität, Zielgruppe, Rhythmus, Ort und Kontakt bestätigen; kein Repository-Fallback; inaktive Angebote entfallen",2026-10-02
2,Angebot/Gruppe,Kindergottesdienst,https://akg-kiel.de/angebote-und-gruppen/kindergottesdienst,WordPress REST + Sitemap,2019-08-28,2025-12-22,nein,überarbeiten,/angebote (Kindergottesdienst; Detailziel in AKG-58),noah.zepner@akg-kiel.de (Projektleitung/Koordination),"AKG-55/63/72: öffentliche ChurchTools-Felder, jeweilige Angebotsleitung und Redaktion","ChurchTools-Gruppendatensatz, öffentliche Felder, Aktivität, Zielgruppe, Rhythmus, Ort und Kontakt bestätigen; kein Repository-Fallback; inaktive Angebote entfallen",2026-10-02
2,Angebot/Gruppe,Konfirmations-Kurs,https://akg-kiel.de/angebote-und-gruppen/konfirmations-kurs,WordPress REST + Sitemap,2019-07-28,2025-09-14,nein,überarbeiten,/angebote (Konfirmations-Kurs; Detailziel in AKG-58),noah.zepner@akg-kiel.de (Projektleitung/Koordination),"AKG-55/63/72: öffentliche ChurchTools-Felder, jeweilige Angebotsleitung und Redaktion","ChurchTools-Gruppendatensatz, öffentliche Felder, Aktivität, Zielgruppe, Rhythmus, Ort und Kontakt bestätigen; kein Repository-Fallback; inaktive Angebote entfallen",2026-10-02
2,Angebot/Gruppe,Krabbelgruppe Krümelmonster,https://akg-kiel.de/angebote-und-gruppen/krabbelgruppe-kruemelmonster,WordPress REST + Sitemap,2019-07-28,2023-11-21,nein,überarbeiten,/angebote (Krabbelgruppe Krümelmonster; Detailziel in AKG-58),noah.zepner@akg-kiel.de (Projektleitung/Koordination),"AKG-55/63/72: öffentliche ChurchTools-Felder, jeweilige Angebotsleitung und Redaktion","ChurchTools-Gruppendatensatz, öffentliche Felder, Aktivität, Zielgruppe, Rhythmus, Ort und Kontakt bestätigen; kein Repository-Fallback; inaktive Angebote entfallen",2026-10-02
2,Angebot/Gruppe,Küsterteam,https://akg-kiel.de/angebote-und-gruppen/kuesterteam,WordPress REST + Sitemap,2019-07-16,2020-01-20,nein,überarbeiten,/angebote (Küsterteam; Detailziel in AKG-58),noah.zepner@akg-kiel.de (Projektleitung/Koordination),"AKG-55/63/72: öffentliche ChurchTools-Felder, jeweilige Angebotsleitung und Redaktion","ChurchTools-Gruppendatensatz, öffentliche Felder, Aktivität, Zielgruppe, Rhythmus, Ort und Kontakt bestätigen; kein Repository-Fallback; inaktive Angebote entfallen",2026-10-02
2,Angebot/Gruppe,Lightship,https://akg-kiel.de/angebote-und-gruppen/lightship,WordPress REST + Sitemap,2019-10-02,2025-01-27,nein,überarbeiten,/angebote (Lightship; Detailziel in AKG-58),noah.zepner@akg-kiel.de (Projektleitung/Koordination),"AKG-55/63/72: öffentliche ChurchTools-Felder, jeweilige Angebotsleitung und Redaktion","ChurchTools-Gruppendatensatz, öffentliche Felder, Aktivität, Zielgruppe, Rhythmus, Ort und Kontakt bestätigen; kein Repository-Fallback; inaktive Angebote entfallen",2026-10-02
2,Angebot/Gruppe,Männergebet,https://akg-kiel.de/angebote-und-gruppen/maennergebet,WordPress REST + Sitemap,2021-02-07,2024-12-16,nein,überarbeiten,/angebote (Männergebet; Detailziel in AKG-58),noah.zepner@akg-kiel.de (Projektleitung/Koordination),"AKG-55/63/72: öffentliche ChurchTools-Felder, jeweilige Angebotsleitung und Redaktion","ChurchTools-Gruppendatensatz, öffentliche Felder, Aktivität, Zielgruppe, Rhythmus, Ort und Kontakt bestätigen; kein Repository-Fallback; inaktive Angebote entfallen",2026-10-02
2,Angebot/Gruppe,Mitarbeit und JULEICA,https://akg-kiel.de/angebote-und-gruppen/mitarbeit-und-juleica,WordPress REST + Sitemap,2019-10-02,2020-01-17,nein,überarbeiten,/angebote (Mitarbeit und JULEICA; Detailziel in AKG-58),noah.zepner@akg-kiel.de (Projektleitung/Koordination),"AKG-55/63/72: öffentliche ChurchTools-Felder, jeweilige Angebotsleitung und Redaktion","ChurchTools-Gruppendatensatz, öffentliche Felder, Aktivität, Zielgruppe, Rhythmus, Ort und Kontakt bestätigen; kein Repository-Fallback; inaktive Angebote entfallen",2026-10-02
2,Angebot/Gruppe,Musik,https://akg-kiel.de/angebote-und-gruppen/musik,WordPress REST + Sitemap,2019-07-25,2024-11-16,nein,überarbeiten,/angebote (Musik; Detailziel in AKG-58),noah.zepner@akg-kiel.de (Projektleitung/Koordination),"AKG-55/63/72: öffentliche ChurchTools-Felder, jeweilige Angebotsleitung und Redaktion","ChurchTools-Gruppendatensatz, öffentliche Felder, Aktivität, Zielgruppe, Rhythmus, Ort und Kontakt bestätigen; kein Repository-Fallback; inaktive Angebote entfallen",2026-10-02
2,Angebot/Gruppe,NEU HIER,https://akg-kiel.de/angebote-und-gruppen/neu-hier,WordPress REST + Sitemap,2024-05-01,2024-05-09,nein,überarbeiten,/angebote (NEU HIER; Detailziel in AKG-58),noah.zepner@akg-kiel.de (Projektleitung/Koordination),"AKG-55/63/72: öffentliche ChurchTools-Felder, jeweilige Angebotsleitung und Redaktion","ChurchTools-Gruppendatensatz, öffentliche Felder, Aktivität, Zielgruppe, Rhythmus, Ort und Kontakt bestätigen; kein Repository-Fallback; inaktive Angebote entfallen",2026-10-02
